Sporobolus angustus
Sporobolus berterianus
Sporobolus berteroanus
Sporobolus elongatus
Sporobolus exilis
Sporobolus indicus
Sporobolus lamarckii
Statice sinuata
Stenotaphrum secundatum
Strobus strobus
Suaeda duripes
Suaeda intermedia
Suaeda moquinii
Suaeda nigra
Suaeda nigrescens
Suaeda ramosissima
Suaeda suffrutescens
Suaeda torreyana
Suaeda fruticosa
Swietenia mahagoni
Swietenia mahogani
Syringa vulgaris
Syzygium aromaticum
Tagetes corymbosa
Tagetes lunulata
Tagetes patula
Tagetes remotiflora
Tagetes signata
Tagetes tenuifolia
Tamarix gallica
Tanacetum cinerarifolium
Tanacetum cinerariifolium
Taraxacum officinale
Taraxacum vulgare
Taxodium distichum
Taxodium sempervirens
Taxus baccata
Taxus cuspidata
Tecoma africana
Teloxys botrys
Thuja occidentalis
Thuja orientalis
Thuja plicata
Tibouchina longifolia
Tilia cordata
Tilia europaea
Trachynia distachya
Tragus elatior
Trema orientalis
Trewia nudiflora
Tricholaena repens
Tricholaena rosea
Tricholaena semidecumbens
Tricholaena tonsa
Trifolium pratense
Trisetum paniceum
Triticum aestivum
Triticum cylindricum
Triticum sylvaticum
Triticum tauschii
Triticum urartu
Tsuga canadensis
Tsusiophyllum Ledum
Tulipa gesneriana
Tussilago farfara
Typha angustata
Typha domingensis
Typha latifolia
Ulmus americana
Ulmus campestris
Ulmus crassifolia
Ulmus floridana
Ulmus glabra
Ulmus integrifolia
Ulmus minor
Ulmus procera
Ulmus pumila
Urochloa maxima
Urochloa mutica
Urtica dioica
Vachellia farnesiana
Vachellia nilotica
Vachiella farnesiana
Vilfa angusta
Vilfa berteroana
Vilfa elongata
Vilfa exilis
Vilfa familiaris
Vilfa indica
Vilfa rupestris
Vinca rosea
Vitis vinifera
Xanthium commune
Xanthium sibiricum
Xanthium spinosum
Xanthium strumarium
Zea mays
Zerna distachya
Zizania spp
Zoysia japonica
Zygophyllum fabago
